GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wishlist,com.elielbatiston.wishlist.adapters.gateways,WishlistGatewayImpl,0,65,0,0,0,14,0,6,0,6
wishlist,com.elielbatiston.wishlist.usecases.findall,InputFindAllProductsDTO,0,6,0,0,0,1,0,1,0,1
wishlist,com.elielbatiston.wishlist.usecases.findall,FindAllProductsUseCase,0,12,0,0,0,3,0,2,0,2
wishlist,com.elielbatiston.wishlist.usecases.findall,OutputFindAllProductsDTO.OutputFindAllCustomerProductProductDTO,0,12,0,0,0,1,0,1,0,1
wishlist,com.elielbatiston.wishlist.usecases.findall,OutputFindAllProductsDTO.OutputFindAllCustomerProductCustomerDTO,0,9,0,0,0,1,0,1,0,1
wishlist,com.elielbatiston.wishlist.usecases.findall,OutputFindAllProductsDTO,0,44,0,0,0,11,0,3,0,3
wishlist,com.elielbatiston.wishlist.adapters.controllers,WishlistController,0,48,0,0,0,12,0,5,0,5
wishlist,com.elielbatiston.wishlist.usecases.find,InputFindProductDTO,0,9,0,0,0,1,0,1,0,1
wishlist,com.elielbatiston.wishlist.usecases.find,OutputFindProductDTO.OutputFindAProductCustomerDTO,0,17,0,0,0,4,0,2,0,2
wishlist,com.elielbatiston.wishlist.usecases.find,OutputFindProductDTO.OutputFindAProductProductDTO,0,22,0,0,0,5,0,2,0,2
wishlist,com.elielbatiston.wishlist.usecases.find,FindProductUseCase,0,48,0,0,0,12,0,4,0,4
wishlist,com.elielbatiston.wishlist.usecases.find,OutputFindProductDTO,0,9,0,0,0,1,0,1,0,1
wishlist,com.elielbatiston.wishlist.usecases.add,InputAddProductDTO.ProductDTO,0,22,0,0,0,2,0,2,0,2
wishlist,com.elielbatiston.wishlist.usecases.add,InputAddProductDTO,0,9,0,0,0,1,0,1,0,1
wishlist,com.elielbatiston.wishlist.usecases.add,InputAddProductDTO.CustomerDTO,0,9,0,0,0,1,0,1,0,1
wishlist,com.elielbatiston.wishlist.usecases.add,AddProductUseCase,0,67,0,2,0,16,0,4,0,3
wishlist,com.elielbatiston.wishlist.usecases.delete,InputDeleteProductDTO,0,9,0,0,0,1,0,1,0,1
wishlist,com.elielbatiston.wishlist.usecases.delete,DeleteProductUseCase,0,56,0,2,0,14,0,5,0,4
wishlist,com.elielbatiston.wishlist.configs,InternationalizationConfig,0,36,0,0,0,9,0,4,0,4
